set_num,name,year,theme_id,num_parts,img_url
7738-1,Coast Guard Helicopter and Life Raft,2008,55,448,https://cdn.rebrickable.com/media/sets/7738-1.jpg
7739-1,Coast Guard Patrol Boat and Tower,2008,55,446,https://cdn.rebrickable.com/media/sets/7739-1.jpg
7740-1,Inter-City Passenger Train,1980,234,786,https://cdn.rebrickable.com/media/sets/7740-1.jpg
7741-1,Police Helicopter,2008,61,94,https://cdn.rebrickable.com/media/sets/7741-1.jpg
7743-1,Police Command Center,2008,61,524,https://cdn.rebrickable.com/media/sets/7743-1.jpg
7744-1,Police Headquarters,2008,61,958,https://cdn.rebrickable.com/media/sets/7744-1.jpg
7745-1,High-Speed City Express Passenger Train,1985,234,737,https://cdn.rebrickable.com/media/sets/7745-1.jpg
7746-1,Single-Drum Roller,2009,56,208,https://cdn.rebrickable.com/media/sets/7746-1.jpg
7747-1,Wind Turbine Transport,2009,63,444,https://cdn.rebrickable.com/media/sets/7747-1.jpg
7748-1,Corporate Alliance Tank Droid,2009,158,216,https://cdn.rebrickable.com/media/sets/7748-1.jpg
7749-1,Echo Base,2009,158,155,https://cdn.rebrickable.com/media/sets/7749-1.jpg
7750-1,Steam Engine,1980,234,268,https://cdn.rebrickable.com/media/sets/7750-1.jpg
775-1,Fire Fighter Ship,1978,363,142,https://cdn.rebrickable.com/media/sets/775-1.jpg
7751-1,Ahsoka's Starfighter and Vulture Droid,2009,158,291,https://cdn.rebrickable.com/media/sets/7751-1.jpg
7752-1,Count Dooku's Solar Sailer,2009,158,385,https://cdn.rebrickable.com/media/sets/7752-1.jpg
7753-1,Pirate Tank,2009,158,372,https://cdn.rebrickable.com/media/sets/7753-1.jpg
7754-1,Home One Mon Calamari Star Cruiser - Limited Edition,2009,158,789,https://cdn.rebrickable.com/media/sets/7754-1.jpg
7755-1,Diesel Heavy Shunting Locomotive,1983,234,164,https://cdn.rebrickable.com/media/sets/7755-1.jpg
7760-1,Diesel Shunter Locomotive,1980,234,155,https://cdn.rebrickable.com/media/sets/7760-1.jpg
7770-1,Deep Sea Treasure Hunter,2007,310,79,https://cdn.rebrickable.com/media/sets/7770-1.jpg
7771-1,Angler Ambush,2007,310,135,https://cdn.rebrickable.com/media/sets/7771-1.jpg
7772-1,Lobster Strike,2007,310,224,https://cdn.rebrickable.com/media/sets/7772-1.jpg
